gName,gpID,NomCircuit,gDate,gLaps,gRank,url_GP
Dutch Grand Prix,96,Circuit Park Zandvoort,1961-05-22 00:00:00,75,2,https://en.wikipedia.org/wiki/1961_Dutch_Grand_Prix
Belgian Grand Prix,97,Circuit de Spa-Francorchamps,1961-06-18 00:00:00,30,3,https://en.wikipedia.org/wiki/1961_Belgian_Grand_Prix
French Grand Prix,98,Reims-Gueux,1961-07-02 00:00:00,52,4,https://en.wikipedia.org/wiki/1961_French_Grand_Prix
British Grand Prix,99,Aintree,1961-07-15 00:00:00,75,5,https://en.wikipedia.org/wiki/1961_British_Grand_Prix
German Grand Prix,100,Nürburgring,1961-08-06 00:00:00,15,6,https://en.wikipedia.org/wiki/1961_German_Grand_Prix
Italian Grand Prix,101,Autodromo Nazionale di Monza,1961-09-10 00:00:00,43,7,https://en.wikipedia.org/wiki/1961_Italian_Grand_Prix
United States Grand Prix,102,Watkins Glen,1961-10-08 00:00:00,100,8,https://en.wikipedia.org/wiki/1961_United_States_Grand_Prix
Dutch Grand Prix,103,Circuit Park Zandvoort,1962-05-20 00:00:00,80,1,https://en.wikipedia.org/wiki/1962_Dutch_Grand_Prix
Monaco Grand Prix,104,Circuit de Monaco,1962-06-03 00:00:00,100,2,https://en.wikipedia.org/wiki/1962_Monaco_Grand_Prix
Belgian Grand Prix,105,Circuit de Spa-Francorchamps,1962-06-17 00:00:00,32,3,https://en.wikipedia.org/wiki/1962_Belgian_Grand_Prix
French Grand Prix,106,Rouen-Les-Essarts,1962-07-08 00:00:00,54,4,https://en.wikipedia.org/wiki/1962_French_Grand_Prix
British Grand Prix,107,Aintree,1962-07-21 00:00:00,75,5,https://en.wikipedia.org/wiki/1962_British_Grand_Prix
German Grand Prix,108,Nürburgring,1962-08-05 00:00:00,15,6,https://en.wikipedia.org/wiki/1962_German_Grand_Prix
Italian Grand Prix,109,Autodromo Nazionale di Monza,1962-09-16 00:00:00,86,7,https://en.wikipedia.org/wiki/1962_Italian_Grand_Prix
United States Grand Prix,110,Watkins Glen,1962-10-07 00:00:00,100,8,https://en.wikipedia.org/wiki/1962_United_States_Grand_Prix
South African Grand Prix,111,Prince George Circuit,1962-12-29 00:00:00,82,9,https://en.wikipedia.org/wiki/1962_South_African_Grand_Prix
Monaco Grand Prix,112,Circuit de Monaco,1963-05-26 00:00:00,100,1,https://en.wikipedia.org/wiki/1963_Monaco_Grand_Prix
Belgian Grand Prix,113,Circuit de Spa-Francorchamps,1963-06-09 00:00:00,32,2,https://en.wikipedia.org/wiki/1963_Belgian_Grand_Prix
Dutch Grand Prix,114,Circuit Park Zandvoort,1963-06-23 00:00:00,80,3,https://en.wikipedia.org/wiki/1963_Dutch_Grand_Prix
French Grand Prix,115,Reims-Gueux,1963-06-30 00:00:00,53,4,https://en.wikipedia.org/wiki/1963_French_Grand_Prix
British Grand Prix,116,Silverstone Circuit,1963-07-20 00:00:00,82,5,https://en.wikipedia.org/wiki/1963_British_Grand_Prix
German Grand Prix,117,Nürburgring,1963-08-04 00:00:00,15,6,https://en.wikipedia.org/wiki/1963_German_Grand_Prix
Italian Grand Prix,118,Autodromo Nazionale di Monza,1963-09-08 00:00:00,86,7,https://en.wikipedia.org/wiki/1963_Italian_Grand_Prix
United States Grand Prix,119,Watkins Glen,1963-10-06 00:00:00,110,8,https://en.wikipedia.org/wiki/1963_United_States_Grand_Prix
Mexican Grand Prix,120,Autódromo Hermanos Rodríguez,1963-10-27 00:00:00,65,9,https://en.wikipedia.org/wiki/1963_Mexican_Grand_Prix
South African Grand Prix,121,Prince George Circuit,1963-12-28 00:00:00,85,10,https://en.wikipedia.org/wiki/1963_South_African_Grand_Prix
Monaco Grand Prix,122,Circuit de Monaco,1964-05-10 00:00:00,100,1,https://en.wikipedia.org/wiki/1964_Monaco_Grand_Prix
Dutch Grand Prix,123,Circuit Park Zandvoort,1964-05-24 00:00:00,80,2,https://en.wikipedia.org/wiki/1964_Dutch_Grand_Prix
Belgian Grand Prix,124,Circuit de Spa-Francorchamps,1964-06-14 00:00:00,32,3,https://en.wikipedia.org/wiki/1964_Belgian_Grand_Prix
French Grand Prix,125,Rouen-Les-Essarts,1964-06-28 00:00:00,57,4,https://en.wikipedia.org/wiki/1964_French_Grand_Prix
British Grand Prix,126,Brands Hatch,1964-07-11 00:00:00,80,5,https://en.wikipedia.org/wiki/1964_British_Grand_Prix
German Grand Prix,127,Nürburgring,1964-08-02 00:00:00,15,6,https://en.wikipedia.org/wiki/1964_German_Grand_Prix
Austrian Grand Prix,128,Zeltweg,1964-08-23 00:00:00,105,7,https://en.wikipedia.org/wiki/1964_Austrian_Grand_Prix
Italian Grand Prix,129,Autodromo Nazionale di Monza,1964-09-06 00:00:00,78,8,https://en.wikipedia.org/wiki/1964_Italian_Grand_Prix
United States Grand Prix,130,Watkins Glen,1964-10-04 00:00:00,110,9,https://en.wikipedia.org/wiki/1964_United_States_Grand_Prix
Mexican Grand Prix,131,Autódromo Hermanos Rodríguez,1964-10-25 00:00:00,65,10,https://en.wikipedia.org/wiki/1964_Mexican_Grand_Prix
South African Grand Prix,132,Prince George Circuit,1965-01-01 00:00:00,85,1,https://en.wikipedia.org/wiki/1965_South_African_Grand_Prix
Monaco Grand Prix,133,Circuit de Monaco,1965-05-30 00:00:00,100,2,https://en.wikipedia.org/wiki/1965_Monaco_Grand_Prix
Belgian Grand Prix,134,Circuit de Spa-Francorchamps,1965-06-13 00:00:00,32,3,https://en.wikipedia.org/wiki/1965_Belgian_Grand_Prix
French Grand Prix,135,Charade Circuit,1965-06-27 00:00:00,40,4,https://en.wikipedia.org/wiki/1965_French_Grand_Prix
British Grand Prix,136,Silverstone Circuit,1965-07-10 00:00:00,80,5,https://en.wikipedia.org/wiki/1965_British_Grand_Prix
Dutch Grand Prix,137,Circuit Park Zandvoort,1965-07-18 00:00:00,80,6,https://en.wikipedia.org/wiki/1965_Dutch_Grand_Prix
German Grand Prix,138,Nürburgring,1965-08-01 00:00:00,15,7,https://en.wikipedia.org/wiki/1965_German_Grand_Prix
Italian Grand Prix,139,Autodromo Nazionale di Monza,1965-09-12 00:00:00,76,8,https://en.wikipedia.org/wiki/1965_Italian_Grand_Prix
United States Grand Prix,140,Watkins Glen,1965-10-03 00:00:00,110,9,https://en.wikipedia.org/wiki/1965_United_States_Grand_Prix
Mexican Grand Prix,141,Autódromo Hermanos Rodríguez,1965-10-24 00:00:00,65,10,https://en.wikipedia.org/wiki/1965_Mexican_Grand_Prix
Monaco Grand Prix,142,Circuit de Monaco,1966-05-22 00:00:00,100,1,https://en.wikipedia.org/wiki/1966_Monaco_Grand_Prix
Belgian Grand Prix,143,Circuit de Spa-Francorchamps,1966-06-12 00:00:00,28,2,https://en.wikipedia.org/wiki/1966_Belgian_Grand_Prix
French Grand Prix,144,Reims-Gueux,1966-07-03 00:00:00,48,3,https://en.wikipedia.org/wiki/1966_French_Grand_Prix
British Grand Prix,145,Brands Hatch,1966-07-16 00:00:00,80,4,https://en.wikipedia.org/wiki/1966_British_Grand_Prix
Dutch Grand Prix,146,Circuit Park Zandvoort,1966-07-24 00:00:00,90,5,https://en.wikipedia.org/wiki/1966_Dutch_Grand_Prix
German Grand Prix,147,Nürburgring,1966-08-07 00:00:00,15,6,https://en.wikipedia.org/wiki/1966_German_Grand_Prix
Italian Grand Prix,148,Autodromo Nazionale di Monza,1966-09-04 00:00:00,68,7,https://en.wikipedia.org/wiki/1966_Italian_Grand_Prix
United States Grand Prix,149,Watkins Glen,1966-10-02 00:00:00,108,8,https://en.wikipedia.org/wiki/1966_United_States_Grand_Prix
Mexican Grand Prix,150,Autódromo Hermanos Rodríguez,1966-10-23 00:00:00,65,9,https://en.wikipedia.org/wiki/1966_Mexican_Grand_Prix
South African Grand Prix,151,Kyalami,1967-01-02 00:00:00,80,1,https://en.wikipedia.org/wiki/1967_South_African_Grand_Prix
Monaco Grand Prix,152,Circuit de Monaco,1967-05-07 00:00:00,100,2,https://en.wikipedia.org/wiki/1967_Monaco_Grand_Prix
Dutch Grand Prix,153,Circuit Park Zandvoort,1967-06-04 00:00:00,90,3,https://en.wikipedia.org/wiki/1967_Dutch_Grand_Prix
Belgian Grand Prix,154,Circuit de Spa-Francorchamps,1967-06-18 00:00:00,28,4,https://en.wikipedia.org/wiki/1967_Belgian_Grand_Prix
French Grand Prix,155,Le Mans,1967-07-02 00:00:00,80,5,https://en.wikipedia.org/wiki/1967_French_Grand_Prix
British Grand Prix,156,Silverstone Circuit,1967-07-15 00:00:00,80,6,https://en.wikipedia.org/wiki/1967_British_Grand_Prix
German Grand Prix,157,Nürburgring,1967-08-06 00:00:00,15,7,https://en.wikipedia.org/wiki/1967_German_Grand_Prix
Canadian Grand Prix,158,Mosport International Raceway,1967-08-27 00:00:00,90,8,https://en.wikipedia.org/wiki/1967_Canadian_Grand_Prix
Italian Grand Prix,159,Autodromo Nazionale di Monza,1967-09-10 00:00:00,68,9,https://en.wikipedia.org/wiki/1967_Italian_Grand_Prix
United States Grand Prix,160,Watkins Glen,1967-10-01 00:00:00,108,10,https://en.wikipedia.org/wiki/1967_United_States_Grand_Prix
Mexican Grand Prix,161,Autódromo Hermanos Rodríguez,1967-10-22 00:00:00,65,11,https://en.wikipedia.org/wiki/1967_Mexican_Grand_Prix
South African Grand Prix,162,Kyalami,1968-01-01 00:00:00,80,1,https://en.wikipedia.org/wiki/1968_South_African_Grand_Prix
Spanish Grand Prix,163,Jarama,1968-05-12 00:00:00,90,2,https://en.wikipedia.org/wiki/1968_Spanish_Grand_Prix
Monaco Grand Prix,164,Circuit de Monaco,1968-05-26 00:00:00,80,3,https://en.wikipedia.org/wiki/1968_Monaco_Grand_Prix
Belgian Grand Prix,165,Circuit de Spa-Francorchamps,1968-06-09 00:00:00,28,4,https://en.wikipedia.org/wiki/1968_Belgian_Grand_Prix
Dutch Grand Prix,166,Circuit Park Zandvoort,1968-06-23 00:00:00,90,5,https://en.wikipedia.org/wiki/1968_Dutch_Grand_Prix
French Grand Prix,167,Rouen-Les-Essarts,1968-07-07 00:00:00,60,6,https://en.wikipedia.org/wiki/1968_French_Grand_Prix
British Grand Prix,168,Brands Hatch,1968-07-20 00:00:00,80,7,https://en.wikipedia.org/wiki/1968_British_Grand_Prix
German Grand Prix,169,Nürburgring,1968-08-04 00:00:00,14,8,https://en.wikipedia.org/wiki/1968_German_Grand_Prix
Italian Grand Prix,170,Autodromo Nazionale di Monza,1968-09-08 00:00:00,68,9,https://en.wikipedia.org/wiki/1968_Italian_Grand_Prix
Canadian Grand Prix,171,Circuit Mont-Tremblant,1968-09-22 00:00:00,90,10,https://en.wikipedia.org/wiki/1968_Canadian_Grand_Prix
United States Grand Prix,172,Watkins Glen,1968-10-06 00:00:00,108,11,https://en.wikipedia.org/wiki/1968_United_States_Grand_Prix
Mexican Grand Prix,173,Autódromo Hermanos Rodríguez,1968-11-03 00:00:00,65,12,https://en.wikipedia.org/wiki/1968_Mexican_Grand_Prix
South African Grand Prix,174,Kyalami,1969-03-01 00:00:00,80,1,https://en.wikipedia.org/wiki/1969_South_African_Grand_Prix
Spanish Grand Prix,175,Montjuïc,1969-05-04 00:00:00,90,2,https://en.wikipedia.org/wiki/1969_Spanish_Grand_Prix
Monaco Grand Prix,176,Circuit de Monaco,1969-05-18 00:00:00,80,3,https://en.wikipedia.org/wiki/1969_Monaco_Grand_Prix
Dutch Grand Prix,177,Circuit Park Zandvoort,1969-06-21 00:00:00,90,4,https://en.wikipedia.org/wiki/1969_Dutch_Grand_Prix
French Grand Prix,178,Charade Circuit,1969-07-06 00:00:00,38,5,https://en.wikipedia.org/wiki/1969_French_Grand_Prix
British Grand Prix,179,Silverstone Circuit,1969-07-19 00:00:00,84,6,https://en.wikipedia.org/wiki/1969_British_Grand_Prix
German Grand Prix,180,Nürburgring,1969-08-03 00:00:00,14,7,https://en.wikipedia.org/wiki/1969_German_Grand_Prix
Italian Grand Prix,181,Autodromo Nazionale di Monza,1969-09-07 00:00:00,68,8,https://en.wikipedia.org/wiki/1969_Italian_Grand_Prix
Canadian Grand Prix,182,Mosport International Raceway,1969-09-20 00:00:00,90,9,https://en.wikipedia.org/wiki/1969_Canadian_Grand_Prix
United States Grand Prix,183,Watkins Glen,1969-10-05 00:00:00,108,10,https://en.wikipedia.org/wiki/1969_United_States_Grand_Prix
Mexican Grand Prix,184,Autódromo Hermanos Rodríguez,1969-10-19 00:00:00,65,11,https://en.wikipedia.org/wiki/1969_Mexican_Grand_Prix
South African Grand Prix,185,Kyalami,1970-03-07 00:00:00,80,1,https://en.wikipedia.org/wiki/1970_South_African_Grand_Prix
Spanish Grand Prix,186,Jarama,1970-04-19 00:00:00,90,2,https://en.wikipedia.org/wiki/1970_Spanish_Grand_Prix
Monaco Grand Prix,187,Circuit de Monaco,1970-05-10 00:00:00,80,3,https://en.wikipedia.org/wiki/1970_Monaco_Grand_Prix
Belgian Grand Prix,188,Circuit de Spa-Francorchamps,1970-06-07 00:00:00,28,4,https://en.wikipedia.org/wiki/1970_Belgian_Grand_Prix
Dutch Grand Prix,189,Circuit Park Zandvoort,1970-06-21 00:00:00,90,5,https://en.wikipedia.org/wiki/1970_Dutch_Grand_Prix
French Grand Prix,190,Charade Circuit,1970-07-05 00:00:00,38,6,https://en.wikipedia.org/wiki/1970_French_Grand_Prix
British Grand Prix,191,Brands Hatch,1970-07-18 00:00:00,80,7,https://en.wikipedia.org/wiki/1970_British_Grand_Prix
German Grand Prix,192,Hockenheimring,1970-08-02 00:00:00,50,8,https://en.wikipedia.org/wiki/1970_German_Grand_Prix
Austrian Grand Prix,193,Red Bull Ring,1970-08-16 00:00:00,60,9,https://en.wikipedia.org/wiki/1970_Austrian_Grand_Prix
Italian Grand Prix,194,Autodromo Nazionale di Monza,1970-09-06 00:00:00,68,10,https://en.wikipedia.org/wiki/1970_Italian_Grand_Prix
Canadian Grand Prix,195,Circuit Mont-Tremblant,1970-09-20 00:00:00,90,11,https://en.wikipedia.org/wiki/1970_Canadian_Grand_Prix
