cName,cCity,cCountry,cVersion,cLength,cYearRec,cDrivRec,cLapRec
Le Mans,Le Mans,France,Circuit de la Sarthe (1929–1931),16.340 km,NULL,NULL,NULL
Le Mans,Le Mans,France,Circuit de la Sarthe (1923–1928),17.262 km,NULL,NULL,NULL
Losail International Circuit,Lusail,Qatar,Grand Prix Circuit (2023–present),5.419 km,2024,Lando Norris,82.384
Losail International Circuit,Lusail,Qatar,Original Grand Prix Circuit (2004–2022),5.380 km,2021,Max Verstappen,83.196
Circuit de Nevers Magny-Cours,Magny Cours,France,Grand Prix Circuit (2003–present),4.411 km,2004,Michael Schumacher,75.377
Circuit de Nevers Magny-Cours,Magny Cours,France,Grand Prix Circuit (1992–2002),4.250 km,2002,David Coulthard,75.045
Circuit de Nevers Magny-Cours,Magny Cours,France,Grand Prix Circuit (1989–1991),4.271 km,1991,Nigel Mansell,79.168
Circuit de Nevers Magny-Cours,Magny Cours,France,Full Circuit (1971–1988),3.850 km,NULL,NULL,NULL
Circuit de Nevers Magny-Cours,Magny Cours,France,Original Circuit (1960–1988),1.995 km,NULL,NULL,NULL
Marina Bay Street Circuit,Marina Bay,Singapore,Grand Prix circuit (2025),4.927 km,2025,Lewis Hamilton,93.808
Marina Bay Street Circuit,Marina Bay,Singapore,Revised circuit with new straight between turns 15–16 (2023–2024),4.940 km,2024,Daniel Ricciardo,94.486
Marina Bay Street Circuit,Marina Bay,Singapore,Revised circuit with re-profiled turns 16–17 (2018–2022),5.063 km,2018,Kevin Magnussen,101.905
Marina Bay Street Circuit,Marina Bay,Singapore,Revised circuit with re-profiled turns 11–13 (2015–2017),5.065 km,2017,Lewis Hamilton,105.008
Marina Bay Street Circuit,Marina Bay,Singapore,Revised circuit with the Singapore Sling chicane at turn 10 removed (2013–2014),5.061 km,2013,Sebastian Vettel,108.574
Marina Bay Street Circuit,Marina Bay,Singapore,Original circuit (2008–2012),5.073 km,2008,Kimi Räikkönen,105.599
Miami International Autodrome,Miami,USA,Grand Prix Circuit (2022–present),3.363 mi,2023,Max Verstappen,89.708
Miami International Autodrome,Miami,USA,Extended Marina Loop (2024–present),2.800 mi,NULL,NULL,NULL
Miami International Autodrome,Miami,USA,MIA Loop (2024–present),1.442 mi,NULL,NULL,NULL
Circuit de Monaco,Monte Carlo,Monaco,Grand Prix Circuit (2015–present) (Tabac slightly moved),3.337 km,2021,Lewis Hamilton,72.909
Circuit de Monaco,Monte Carlo,Monaco,Extended Formula E Circuit (2021) (changes in Nouvelle Chicane),3.318 km,NULL,NULL,NULL
Circuit de Monaco,Monte Carlo,Monaco,Original Formula E Circuit (2015–2019),1.765 km,NULL,NULL,NULL
Circuit de Monaco,Monte Carlo,Monaco,"6th Variation (2003–2014) (tightened, slower chicane at exit of swimming pool section)",3.340 km,2004,Michael Schumacher,74.439
Circuit de Monaco,Monte Carlo,Monaco,5th Variation (1997–2002) (redesigned swimming pool section),3.370 km,2002,Rubens Barrichello,78.023
Circuit de Monaco,Monte Carlo,Monaco,4th Variation (1986–1996) (Nouvelle chicane added),3.328 km,1994,Michael Schumacher,81.076
Circuit de Monaco,Monte Carlo,Monaco,3rd Variation (1976–1985) (using tighter curves of Sainte Dévote and Antony Noghès),3.312 km,1985,Michele Alboreto,82.637
Circuit de Monaco,Monte Carlo,Monaco,"2nd Variation (1973–1975) (redesigned with new tunnel, swimming pool section)",3.278 km,1974,Ronnie Peterson,87.9
Circuit de Monaco,Monte Carlo,Monaco,1st Variation (1955–1972) (chicane in the port moved further away from the tunnel),3.145 km,1971,Jackie Stewart,82.2
Circuit de Monaco,Monte Carlo,Monaco,Original Circuit (1929–1954),3.180 km,NULL,NULL,NULL
Monsanto Park Circuit,Lisbon,Portugal,Grand Prix Circuit (1953–1959),5.440 km,1959,Stirling Moss,125.07
Montjuïc,Barcelona,Spain,"Temporary Street Circuit (1933–1950, 1953–1986)",3.791 km,1973,Ronnie Peterson,83.8
Montjuïc,Barcelona,Spain,Temporary Street Circuit (1952),4.205 km,NULL,NULL,NULL
Montjuïc,Barcelona,Spain,Temporary Street Circuit (1951),6.033 km,NULL,NULL,NULL
Autodromo Nazionale di Monza,Monza,Italy,Modern Grand Prix Circuit (2000–present),5.793 [ 4 ] [ 5 ] km,2025,257.781 km/h (160.178 mph ( Lando Norris,80.901
Autodromo Nazionale di Monza,Monza,Italy,Motorcycle Circuit (2010–present),5.777 km,NULL,NULL,NULL
Autodromo Nazionale di Monza,Monza,Italy,Junior Course (1959–present),2.405 [ 5 ] km,NULL,NULL,NULL
Autodromo Nazionale di Monza,Monza,Italy,Grand Prix Circuit (1996–1999),5.770 km,1997,Mika Häkkinen,84.808
Autodromo Nazionale di Monza,Monza,Italy,Grand Prix Circuit (1994–1995),5.834 km,1994,Damon Hill,84.808
Autodromo Nazionale di Monza,Monza,Italy,Grand Prix Circuit (1976–1993),5.800 km,1993,Damon Hill,83.575
Autodromo Nazionale di Monza,Monza,Italy,Grand Prix Circuit (1974–1976),5.780 km,NULL,NULL,NULL
